"section","result","population","cohort_start","cohort_end","outcome","estimate","ci_low","ci_high","p_value","status","thesis_use","result_file","code_file"
"Decomposition","Full-cohort two-factor Shapley decomposition","Pre-deal target-inventor cohort",1993,2010,"intensive_patents_per_active_year",-0.0140455748763072,NA,NA,NA,"accounting decomposition","Order-invariant Shapley contribution of patents per active inventor-year; descriptive conditioning on post-treatment activity. Share: 27.0%.","02_analysis/output/audit/local_match_v2_1993_amendment/FINAL_THESIS_RELEASE_1993/fullcohort_extensive_intensive_decomposition.csv","02_analysis/R/58_build_final_thesis_release_1993.R"
"Decomposition","Full-cohort two-factor Shapley decomposition","Pre-deal target-inventor cohort",1993,2010,"total",-0.052060313390189,NA,NA,NA,"accounting decomposition","Certified full-cohort patent-count ATT. Share: 100.0%.","02_analysis/output/audit/local_match_v2_1993_amendment/FINAL_THESIS_RELEASE_1993/fullcohort_extensive_intensive_decomposition.csv","02_analysis/R/58_build_final_thesis_release_1993.R"
"Decomposition","Retained two-factor Shapley decomposition","Initially retained inventors",1993,2010,"extensive_active_patenting",-0.0255709255389168,NA,NA,NA,"accounting decomposition","Order-invariant Shapley contribution of the active-patenting margin. Share: 26.7%.","02_analysis/output/audit/local_match_v2_1993_amendment/FINAL_THESIS_RELEASE_1993/retained_extensive_intensive_decomposition.csv","02_analysis/R/58_build_final_thesis_release_1993.R"
"Decomposition","Retained two-factor Shapley decomposition","Initially retained inventors",1993,2010,"intensive_patents_per_active_year",-0.0703377006898571,NA,NA,NA,"accounting decomposition","Order-invariant Shapley contribution of patents per active inventor-year; descriptive conditioning on post-treatment activity. Share: 73.3%.","02_analysis/output/audit/local_match_v2_1993_amendment/FINAL_THESIS_RELEASE_1993/retained_extensive_intensive_decomposition.csv","02_analysis/R/58_build_final_thesis_release_1993.R"
"Decomposition","Retained two-factor Shapley decomposition","Initially retained inventors",1993,2010,"total",-0.0959086262287739,NA,NA,NA,"accounting decomposition","Certified initially retained patent-count ATT. Share: 100.0%.","02_analysis/output/audit/local_match_v2_1993_amendment/FINAL_THESIS_RELEASE_1993/retained_extensive_intensive_decomposition.csv","02_analysis/R/58_build_final_thesis_release_1993.R"
"Mechanism diagnostic","TechDrift-quality within-retained association","Initially retained inventor-years",1993,2010,"pqii_conditional_mean",0.0086342247249951,-0.0105659921983486,0.0278344416483388,0.375331526875403,"association only","Deal- and event-time-FE association; not an ATT.","02_analysis/output/audit/local_match_v2_1993_amendment/MECHANISM_SELECTION_DIAGNOSTICS/techdrift_quality_association.csv","02_analysis/R/54_run_lmv2_mechanism_selection.R"
"Mechanism diagnostic","TechDrift-quality within-retained association","Initially retained inventor-years",1993,2010,"pqii_scaled",-0.283006508181045,-0.42587339613028,-0.140139620231809,0.000142374547714815,"association only","Deal- and event-time-FE association; not an ATT.","02_analysis/output/audit/local_match_v2_1993_amendment/MECHANISM_SELECTION_DIAGNOSTICS/techdrift_quality_association.csv","02_analysis/R/54_run_lmv2_mechanism_selection.R"
"Classification diagnostic","T_NO_POST_5Y career-age comparison","Retained, leaver, and no-post classifications",1993,2010,NA,NA,NA,NA,NA,"completed","No-post inventors are younger on average; the management-transition explanation is not supported.","02_analysis/output/audit/local_match_v2_1993_amendment/MECHANISM_SELECTION_DIAGNOSTICS/management_transition_summary.csv","02_analysis/R/54_run_lmv2_mechanism_selection.R"
"DealSim","Exploratory DealSim tercile: low","Deals with non-placeholder acquirer portfolio",1993,2010,"patent_count",0.00863960870539983,-0.0402327606443023,0.057511978055102,NA,"exploratory after failed prospective power gate","Appendix/descriptive only; no confirmatory p-value and no inverted-U claim.","02_analysis/output/audit/local_match_v2_1993_amendment/DEALSIM_EXPLORATORY_POSTGATE/dealsim_tercile_exploratory.csv","02_analysis/R/55_run_dealsim_exploratory.R"
"DealSim","Exploratory DealSim tercile: middle","Deals with non-placeholder acquirer portfolio",1993,2010,"patent_count",-0.0158830424682651,-0.0659785063270764,0.0342124213905461,NA,"exploratory after failed prospective power gate","Appendix/descriptive only; no confirmatory p-value and no inverted-U claim.","02_analysis/output/audit/local_match_v2_1993_amendment/DEALSIM_EXPLORATORY_POSTGATE/dealsim_tercile_exploratory.csv","02_analysis/R/55_run_dealsim_exploratory.R"
"DealSim","Exploratory DealSim tercile: high","Deals with non-placeholder acquirer portfolio",1993,2010,"patent_count",-0.0228600151790732,-0.0630052274303426,0.0172851970721962,NA,"exploratory after failed prospective power gate","Appendix/descriptive only; no confirmatory p-value and no inverted-U claim.","02_analysis/output/audit/local_match_v2_1993_amendment/DEALSIM_EXPLORATORY_POSTGATE/dealsim_tercile_exploratory.csv","02_analysis/R/55_run_dealsim_exploratory.R"
"DealSim","Exploratory DealSim tercile: low","Deals with non-placeholder acquirer portfolio",1993,2010,"pqii_scaled",0.000655908890204054,-0.0149920585704255,0.0163038763508336,NA,"exploratory after failed prospective power gate","Appendix/descriptive only; no confirmatory p-value and no inverted-U claim.","02_analysis/output/audit/local_match_v2_1993_amendment/DEALSIM_EXPLORATORY_POSTGATE/dealsim_tercile_exploratory.csv","02_analysis/R/55_run_dealsim_exploratory.R"
"DealSim","Exploratory DealSim tercile: middle","Deals with non-placeholder acquirer portfolio",1993,2010,"pqii_scaled",-0.0110759953966245,-0.0317721295277898,0.00962013873454089,NA,"exploratory after failed prospective power gate","Appendix/descriptive only; no confirmatory p-value and no inverted-U claim.","02_analysis/output/audit/local_match_v2_1993_amendment/DEALSIM_EXPLORATORY_POSTGATE/dealsim_tercile_exploratory.csv","02_analysis/R/55_run_dealsim_exploratory.R"
"DealSim","Exploratory DealSim tercile: high","Deals with non-placeholder acquirer portfolio",1993,2010,"pqii_scaled",-0.0136413835326986,-0.0255848428546458,-0.00169792421075144,NA,"exploratory after failed prospective power gate","Appendix/descriptive only; no confirmatory p-value and no inverted-U claim.","02_analysis/output/audit/local_match_v2_1993_amendment/DEALSIM_EXPLORATORY_POSTGATE/dealsim_tercile_exploratory.csv","02_analysis/R/55_run_dealsim_exploratory.R"
"Team disruption","Persistent pre-deal tie support census","Treated and control focal inventors",1993,2010,NA,NA,NA,NA,NA,"original support gate failed","Preserve the original Path-Q rule and its strict-tie census.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N0_CENSUS/network_n0_path_decision.csv","02_analysis/R/56_run_lmv2_network_census.R"
"Team disruption","Partner focal-organization persistence, t=-2","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_share",-0.0227352106415256,-0.0721773814863531,0.0267069602033018,0.3671,"validation gate failed","Held-out pre-period diagnostic only; no post-treatment network effect is estimated.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N1_VALIDATION/network_validation_leads.csv","02_analysis/R/61_run_lmv2_network_n1.R"
"Team disruption","Partner focal-organization persistence, t=-1","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_share",-0.105255510241402,-0.150780963927506,-0.0597300565552975,0.0001,"validation gate failed","Held-out pre-period diagnostic only; no post-treatment network effect is estimated.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N1_VALIDATION/network_validation_leads.csv","02_analysis/R/61_run_lmv2_network_n1.R"
"Team disruption","Network N1 release decision","Strict-tie full pre-deal target-inventor cohort",1993,2010,NA,NA,NA,NA,NA,"failed validation and precision gate","Path F closes causal N2 estimation; the later positive-event package is descriptive accounting only.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N1_VALIDATION/network_n1_path_decision.csv","02_analysis/R/61_run_lmv2_network_n1.R"
"Team disruption","Initially retained strict-tie support census","Initially retained inventors and symmetric controls",1993,2010,NA,NA,NA,NA,NA,"blocked after failed full-cohort N1 gate","Report support only; do not estimate a selected-group post-treatment network effect.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N3_RETAINED_SUPPORT/retained_network_release_decision.csv","02_analysis/R/63_census_lmv2_retained_network_support.R"
"Team disruption: descriptive","Retained network accounting: any_post_patent","All initially retained treated inventors",1993,2010,"any_post_patent",1,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: all. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: any_post_collaboration","All initially retained treated inventors",1993,2010,"any_post_collaboration",0.98352435530086,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: all. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: post_collaborators","All initially retained treated inventors",1993,2010,"post_collaborators",11.0120174799709,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: any_post_collaboration. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: any_legacy_recurrence","Initially retained treated inventors with strict persistent ties",1993,2010,"any_legacy_recurrence",0.545296167247387,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: legacy_recurrence_share","Initially retained treated inventors with strict persistent ties",1993,2010,"legacy_recurrence_share",0.318691766888119,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: legacy_focal_group_share","Initially retained treated inventors with strict persistent ties",1993,2010,"legacy_focal_group_share",0.551173224136434,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: legacy_outside_only_share","Initially retained treated inventors with strict persistent ties",1993,2010,"legacy_outside_only_share",0.0789388669460082,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: legacy_no_post_patent_share","Initially retained treated inventors with strict persistent ties",1993,2010,"legacy_no_post_patent_share",0.369887908917558,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: post_collaborators","Initially retained treated inventors with strict persistent ties",1993,2010,"post_collaborators",13.8430335097002,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict_and_any_post_collaboration. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: legacy_share_post_team","Initially retained treated inventors with strict persistent ties",1993,2010,"legacy_share_post_team",0.104334260973378,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict_and_any_post_collaboration. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: new_post_focal_group_share","Initially retained treated inventors with strict persistent ties",1993,2010,"new_post_focal_group_share",0.916059369164468,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict_and_any_new_collaborator. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: new_pre_target_group_share","Initially retained treated inventors with strict persistent ties",1993,2010,"new_pre_target_group_share",0,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict_and_any_new_collaborator. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive","Retained network accounting: new_other_share","Initially retained treated inventors with strict persistent ties",1993,2010,"new_other_share",0.0839406308355319,NA,NA,NA,"descriptive_selected_population_no_causal_ATT","Selected-population description over event times +1 through +5; denominator: strict_and_any_new_collaborator. No causal acquisition effect or p-value.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_retained_descriptive_summary.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p2, control","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_rate",0.221462873795129,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (full_cohort); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p2, control","Strict-tie initially retained population",1993,2010,"partner_focal_persistence_rate",0.381946508490407,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (initially_retained); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p2, treated","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_rate",0.165373775625259,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (full_cohort); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p2, treated","Strict-tie initially retained population",1993,2010,"partner_focal_persistence_rate",0.351062967400844,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (initially_retained); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p5, control","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_rate",0.176441415401415,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (full_cohort); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p5, control","Strict-tie initially retained population",1993,2010,"partner_focal_persistence_rate",0.305570609417569,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (initially_retained); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p5, treated","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_rate",0.117845506447081,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (full_cohort); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: post_p1_p5, treated","Strict-tie initially retained population",1993,2010,"partner_focal_persistence_rate",0.253917852944805,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (initially_retained); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: pre_m2_m1, control","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_rate",0.365267069837328,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (full_cohort); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: pre_m2_m1, control","Strict-tie initially retained population",1993,2010,"partner_focal_persistence_rate",0.483946671022676,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (initially_retained); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: pre_m2_m1, treated","Strict-tie full pre-deal target-inventor cohort",1993,2010,"partner_focal_persistence_rate",0.301271709395855,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (full_cohort); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: descriptive benchmark","Pooled partner focal-organization level: pre_m2_m1, treated","Strict-tie initially retained population",1993,2010,"partner_focal_persistence_rate",0.418292981670467,NA,NA,NA,"descriptive_level_not_a_causal_effect","Arm-window level only (initially_retained); do not difference or interpret causally.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_pooled_descriptive_levels.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: balance diagnostic","Maximum absolute network-specific baseline SMD","Strict-tie full pre-deal target-inventor cohort",1993,2010,"maximum_absolute_smd",0.123962340249311,NA,NA,NA,"diagnostic_only_no_rematching","Network-specific balance audit for full_cohort; reinforces the descriptive-only interpretation.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_specific_balance_maximum.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Team disruption: balance diagnostic","Maximum absolute network-specific baseline SMD","Strict-tie initially retained population",1993,2010,"maximum_absolute_smd",0.137605342740384,NA,NA,NA,"diagnostic_only_no_rematching","Network-specific balance audit for initially_retained; reinforces the descriptive-only interpretation.","02_analysis/output/audit/local_match_v2_1993_amendment/NETWORK_N4_DESCRIPTIVE/network_specific_balance_maximum.csv","02_analysis/R/64_build_lmv2_network_descriptive.R"
"Selection","Lee-bounds identification decision","Initially retained inventors",1993,2010,NA,NA,NA,NA,NA,"not identified under defensible assumptions","Do not report ordinary Lee bounds; report observed selection contrasts and their direction instead.","02_analysis/output/audit/local_match_v2_1993_amendment/SELECTION_BOUNDS_DECISION/selection_bounds_decision.csv","02_analysis/R/57_certify_selection_bounds_decision.R"
"Robustness","Full robustness battery","Pre-deal target-inventor cohort",1993,2010,NA,NA,NA,NA,NA,"completed","CBPS, alternative weights, donor/deal omissions, transformed outcomes, PPML, sign-flip, LODO, control placebos, and completion-year checks.","02_analysis/output/audit/local_match_v2_1993_amendment/ROBUSTNESS_RELEASE_1993/FINAL_RELEASE/robustness_results_ordinary_p.csv","02_analysis/R/49a_build_lmv2_1993_robustness_release.R"
"Co-equal identification","Verginer-style matched comparison","Pre-deal target-inventor cohort",1993,2010,NA,NA,NA,NA,NA,"completed with design-specific qualification","Trajectory/technology matched companion design; report its certified support and pretrend diagnostics alongside the estimate.","02_analysis/output/audit/local_match_v2_1993_amendment/ROBUSTNESS_RELEASE_1993/P6_VERGINER_EARLY_RECRUITMENT/verginer_p6_headline.csv","02_analysis/R/24a_run_lmv2_verginer_early_recruitment_p6.R"
